key,name,stFipsOrRecipientId,profileType,link
NJ-8,"Essex-Newark Legal Services Project, Inc.",331060,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/essex-newark-legal-services-project-inc-program-profile
NM,New Mexico,35,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/new-mexico-legal-aid-program-profile
NM-1,"DNA-Peoples Legal Services, Inc.",703068,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/dna-peoples-legal-services-inc-program-profile
NM-5,New Mexico Legal Aid,732010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/new-mexico-legal-aid-program-profile
NV,Nevada,32,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/nevada-legal-services-inc-program-profile
NV-1,"Nevada Legal Services, Inc.",829050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/nevada-legal-services-inc-program-profile
NY,New York,36,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/new-york-state-profile
NY-20,Legal Services of the Hudson Valley,233160,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-hudson-valley-program-profile
NY-21,"Legal Aid Society of Northeastern New York, Inc.",233010,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-northeastern-new-york-inc-program-profile
NY-22,"Legal Aid Society of Mid-New York, Inc.",233150,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-mid-new-york-inc-program-profile
NY-23,"Legal Assistance of Western New York, Inc.",233130,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-assistance-western-new-york-inc-program-profile
NY-24,"Neighborhood Legal Services, Inc.",233047,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/neighborhood-legal-services-inc-program-profile
NY-7,"Nassau/Suffolk Law Services Committee, Inc.",233070,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/nassausuffolk-law-services-committee-inc-program-profile
NY-9,Legal Services NYC,233100,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-services-nyc-program-profile
OH,Ohio,39,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/ohio-state-profile
OH-18,Legal Aid Society of Greater Cincinnati,436040,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-greater-cincinnati-program-profile
OH-20,"Community Legal Aid Services, Inc.",436030,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/community-legal-aid-services-inc-program-profile
OH-21,The Legal Aid Society of Cleveland,436050,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-society-cleveland-program-profile
OH-23,"Legal Aid of Western Ohio, Inc.",436183,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-western-ohio-inc-program-profile
OH-24,Ohio State Legal Services,436070,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/ohio-state-legal-services-program-profile
OK,Oklahoma,40,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/oklahoma-state-profile
OK-3,"Legal Aid Services of Oklahoma, Inc.",737066,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-services-oklahoma-inc-program-profile
OR,Oregon,41,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-services-oregon-program-profile
OR-6,Legal Aid Services of Oregon,938004,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/legal-aid-services-oregon-program-profile
PA,Pennsylvania,42,state,https://www.lsc.gov/grants-grantee-resources/our-grantees/pennsylvania-state-profile
PA-1,Philadelphia Legal Assistance Center,339000,org,https://www.lsc.gov/grants-grantee-resources/our-grantees/philadelphia-legal-assistance-center-program-profile
